Learning Rate,Batch Size,Optimizer,Accuracy
0.001,48,adam,87.63440860215054
0.001,32,sgd,86.55913978494624
0.001,16,adam,85.48387096774194
0.001,48,sgd,85.48387096774194
0.01,32,sgd,85.48387096774194
0.0001,16,adam,84.40860215053763
0.001,32,adam,84.40860215053763
0.01,48,sgd,84.40860215053763
0.01,16,sgd,83.33333333333333
0.0001,16,sgd,82.25806451612904
0.001,16,sgd,82.25806451612904
0.0001,32,sgd,81.18279569892474
0.0001,48,sgd,79.56989247311827
0.01,32,adam,79.03225806451613
0.0001,32,adam,74.73118279569893
0.01,16,adam,74.73118279569893
0.0001,48,adam,68.81720430107526
0.01,48,adam,68.81720430107526
